id,nop,owner_id,guardian_id,rt,rw,village,road,determination,block_number,land_area,land_area_unit,building_area,building_area_unit
1,350515000901500770,1,7,003,9,SUMBERJO,BLOK 015,42771,015.0077,667,m2,0,m2
2,350515000901300740,2,7,002,6,SUMBERJO,DSN NGADIPURO,75347,013.0074,1175,m2,0,m2
3,350515000901300750,3,7,001,6,SUMBERJO,DSN NGADIPURO,76565,013.0075,1194,m2,0,m2
4,350515000901300890,4,7,001,6,SUMBERJO,DSN NGADIPURO,181923,013.0089,2837,m2,0,m2
5,350515000901400800,5,7,001,9,SUMBERJO,BLOK 014,22635,014.0080,503,m2,0,m2
6,350515000901401190,6,7,001,9,SUMBERJO,BLOK 014,66375,014.0119,1475,m2,0,m2
7,350515000901401210,7,7,001,9,SUMBERJO,BLOK 014,43605,014.0121,969,m2,0,m2
8,350515000901500720,8,7,002,9,SUMBERJO,JL. DESA BLOK 015,132707,015.0072,942,m2,36,m2
9,350515000901500760,9,7,002,9,SUMBERJO,BLOK 015,88116,015.0076,1085,m2,77,m2
10,350515000902101010,10,7,001,8,SUMBERJO,BLOK 021,66285,021.0101,1473,m2,0,m2
11,350515000902200390,11,7,002,9,SUMBERJO,BLOK 022,40275,022.0039,895,m2,0,m2
12,350515000902200170,12,7,003,8,SUMBERJO,BLOK 022,49500,022.0017,1100,m2,0,m2
13,350515000902200180,13,7,001,8,SUMBERJO,DSN. KEMBANGAN,80685,022.0018,1793,m2,0,m2
14,350515000902300510,14,7,000,0,SUMBERJO,BLOK 023,78030,023.0051,1734,m2,0,m2
15,350515000902300050,15,7,000,0,SUMBERJO,KEMBANGAN,59760,023.0005,1328,m2,0,m2
16,350515000901501960,16,7,2,9,SUMBERJO,JL DESA BLOK 015,28436,015.0196,268,m2,50,m2
17,350515000901900850,17,7,1,9,SUMBERJO,SUMBERJO,144087,019.0085,942,m2,60,m2
18,350515000901900860,18,7,1,9,SUMBERJO,SUMBERJO,130137,019.0086,942,m2,0,m2
19,350515000901900840,19,7,1,9,SUMBERJO,SUMBERJO,155175,019.0084,942,m2,80,m2
20,350515000902200580,20,7,001,8,SUMBERJO,DSN KEMBANGAN,238455,220.058,5299,m2,0,m2
21,350515000901900650,21,7,001,9,SUMBERJO,SUMBERJO,168957,019.0065,943,m2,120,m2
22,350515000901900660,22,7,001,9,SUMBERJO,BLOK 019,116197,019.0066,1113,m2,0,m2
23,350515000901900620,23,7,001,9,SUMBERJO,JL. DESA BLOK 019,363785,019.0062,2615,m2,42,m2
24,350515000901501130,24,7,002,9,SUMBERJO,JL. DESA BLOK 015,17784,015.0113,208,m2,0,m2
25,350515000901900580,25,7,001,9,SUMBERJO,JL. DESA BLOK 019,101865,019.0058,1371,m2,60,m2
26,350515000901900560,26,7,001,9,SUMBERJO,JL. DESA BLOK 019,90561,019.0056,578,m2,48,m2
27,350515000901900530,27,7,001,9,SUMBERJO,DSN KEMBANGAN,103199,019.0053,233,m2,148,m2
28,350515000901900950,28,7,001,9,SUMBERJO,DSN KEMBANGAN,59658,019.0095,89,m2,84,m2
29,350515000901900540,29,7,001,9,SUMBERJO,JL. DESA BLOK 019,10000,019.0054,98,m2,20,m2
30,350515000901900550,30,7,001,9,SUMBERJO,JL. DESA BLOK 019,16184,019.0055,77,m2,35,m2
31,350515000901900910,31,7,001,9,SUMBERJO,DSN KEMBANGAN,19766,019.0091,142,m2,0,m2
32,350515000901900960,32,7,001,9,SUMBERJO,DSN KEMBANGAN,25420,019.0096,184,m2,0,m2
33,350515000901900500,33,7,001,9,SUMBERJO,JL. DESA BLOK 019,84260,019.0050,1314,m2,0,m2
